Entitate,Nr_proiecte_finantate,Abreviere,Attribute_tip_institutie_original,Reg_dezvoltare,Pr_instit_coordonatoare,Pr_instit_total,merge1_degree,Eigenvcentral_gephi,Closeness_central_gephi,Beetweeness_gephi,Weighteddegree_Gephi,Authority
UNIVERSITATEA PETROL GAZE PLOIESTI,0,UPG,Universitate publică,Sud+Centru,1,5,20,0.324516484197919,0.488721804511278,23.5683970446251,25,0.071834125
"UNIVERSITATEA ""VASILE ALECSANDRI"" DIN BACĂU",0,UBc,Universitate publică,Nord-Est,0,2,14,0.164159808406507,0.446224256292906,23.5491714590584,14,0.035463743
CENTRUL DE ECONOMIA INDUSTRIEI SI SERVICIILOR,0,IEI,Academia Română,Bucuresti-Ilfov,0,2,16,0.216830946839322,0.463182897862232,23.0799933909038,16,0.04739416
INSTITUTUL DE STIINTE SPATIALE-FILIALA INFLPR,0,ISS INFLPR,Institut de cercetare INCD,Bucuresti-Ilfov,1,3,18,0.300466807428365,0.479115479115479,19.5380743112922,20,0.066497736
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU GEOLOGIE SI GEOECOLOGIE MARINA - GEOECOMAR,1,GEOECOMAR,Institut de cercetare INCD,Bucuresti-Ilfov,1,4,16,0.22483814389398,0.456674473067915,19.0932978290391,22,0.04964342
Ministerul Apararii Nationale prin Agentia de Cercetare pentru Tehnica si Tehnologii Militare (ACTTM),0,ACTTM,Cercetare & învăţământ militar,Bucuresti-Ilfov,0,2,11,0.142886327623039,0.444191343963553,18.8552658304287,11,0.03131703
REGIA AUTONOMĂ TEHNOLOGII PENTRU ENERGIA NUCLEARĂ - RATEN,1,RATEN,Institut de cercetare,Sud+Centru,0,2,8,0.106490568686289,0.426695842450765,18.6646887784667,8,0.023324018
SPITALUL UNIVERSITAR DE URGENTA ELIAS,0,SUU ELIAS,Spital universitar,Bucuresti-Ilfov,0,2,8,0.0764411905113918,0.412262156448202,18.2128108814826,8,0.016469948
INSTITUTUL DE STUDII SUD-EST EUROPENE,0,ISSEE,Academia Română,Bucuresti-Ilfov,1,2,10,0.0857476236042641,0.418454935622317,17.7550330778225,11,0.018266302
FUNDATIA NOUA EUROPA,0,NEC,Institut de cercetare,Bucuresti-Ilfov,0,2,10,0.0857476236042641,0.418454935622317,17.7550330778225,11,0.018266302
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU TEHNOLOGII CRIOGENICE SI IZOTOPICE - I.C.S.I. RAMNICU VALCEA,1,ICSI,Institut de cercetare INCD,Sud+Centru,1,4,21,0.354664606334986,0.501285347043701,17.1053880021303,28,0.07830839
UNIVERSITATEA NATIONALA DE MUZICA BUCURESTI,0,UNMB,Universitate publică,Bucuresti-Ilfov,0,2,8,0.0658116989867809,0.399590163934426,16.6776238087605,8,0.014128733
INSTITUTUL GEOLOGIC AL ROMANIEI,1,IGR,Institut de cercetare INCD,Bucuresti-Ilfov,0,3,15,0.241853957784959,0.464285714285714,16.5874441343205,19,0.053623296
"INSTITUTUL DE VIRUSOLOGIE ""STEFAN S.NICOLAU""",0,VIROLOGY,Academia Română,Bucuresti-Ilfov,0,2,9,0.159978408617431,0.457746478873239,16.0564135405852,10,0.035183847
UNIVERSITATEA MARITIMA DIN CONSTANTA,0,UMC,Universitate publică,Sud+Centru,0,2,18,0.270606895387882,0.471014492753623,14.5589969821901,20,0.05976588
INSTITUTUL NAŢIONAL DE CERCETARE-DEZVOLTARE AGRICOLĂ-FUNDULEA,0,INCDA,Institut de cercetare INCD,Sud+Centru,0,2,10,0.133482118092184,0.443181818181818,12.7987154857358,10,0.029209813
"UNIVERSITATEA DE VEST ""VASILE GOLDIŞ"" ARAD",0,UVVG,Universitate privată,Vest,0,2,9,0.151049139950596,0.442176870748299,11.184133988922,11,0.033342525
SPITALUL CLINIC JUDETEAN DE URGENTATIMISOARA,1,HOSPTM,Spital de stat,Vest,0,2,9,0.12522968464464,0.428571428571428,10.8497858241416,9,0.027533038
"INSTITUTUL NAŢIONAL DE CERCETARE-DEZVOLTARE MARINĂ ""GRIGORE ANTIPA""-I.N.C.D.M. CONSTANŢA",0,INCDM,Institut de cercetare INCD,Sud+Centru,0,2,11,0.176988367330853,0.455607476635514,10.6985321640748,11,0.039143912
ASOCIAŢIA TRANSYLVANIAN INSTITUTE OF NEUROSCIENCE,1,TINS,ONG,Nord-Vest,0,2,14,0.224040189600932,0.452436194895591,8.85962668595575,17,0.049672376
